artist_name,festival_day,event_date,stage,set_time,billing_tier,headliner_flag,source_url,artist_popularity_score
Latin Mafia,Sunday,2025-08-03,Toyota Music Den,9pm - 10pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
A$AP Rocky,Sunday,2025-08-03,Toyota Music Den,8:45pm - 10pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,92
Gryffin,Sunday,2025-08-03,Toyota Music Den,7pm - 8pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
The Marias,Sunday,2025-08-03,Toyota Music Den,7pm - 8pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Ian,Sunday,2025-08-03,Toyota Music Den,6pm - 7pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Joey Valence & Brae,Sunday,2025-08-03,Toyota Music Den,5:15pm - 6pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Remi Wolf,Sunday,2025-08-03,Toyota Music Den,5pm - 6pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Wave To Earth,Sunday,2025-08-03,Toyota Music Den,4pm - 5pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Katseye,Sunday,2025-08-03,Toyota Music Den,3:15pm - 4pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Rebecca Black,Sunday,2025-08-03,Toyota Music Den,3pm - 4pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Sofia Camara,Sunday,2025-08-03,Toyota Music Den,3:20pm - 4pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Wild Rivers,Sunday,2025-08-03,Toyota Music Den,3pm - 4pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Post Animal,Sunday,2025-08-03,Toyota Music Den,2pm - 3pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
Flowerovlove,Sunday,2025-08-03,Toyota Music Den,1:15pm - 2pm,Lower,0,https://www.festivaldust.com/festivals/lollapalooza-2025-chicagoil/set-times,25
